,Unnamed: 0,分行別,分行代碼,分行地址,分行縣市,裁撤備註,代收付處收現記號,調度中心,優先預測分行,優先預測原因,座標,x,y
30,30,光華分行,32,新竹市經國路一段528號1、2樓及地下1樓,新竹市,,,,,,"('24.814701', '120.976537')",24.814701,120.976537
31,31,東門分行,33,台北市大安區信義路二段154之1號1、3、4樓、156號1、3、4樓及158號1、2、3、4樓,台北市,,,,,,"('25.033629', '121.528844')",25.033629,121.528844
32,32,天母分行,34,台北市天母東路70、72號1、2樓及忠誠路二段249號1、2樓,台北市,,,,,,"('25.117967', '121.535032')",25.117967,121.535032
33,33,東板橋分行,35,新北市板橋區中山路二段147號1、2樓及149號1、3樓,新北市,,,,,,"('25.016696', '121.475496')",25.016696,121.475496
34,34,東台南分行,36,台南市東區長榮路2段163號1、2、3樓及3樓之1、3樓之2、3樓之3,台南市,,,,Y,個人戶多,"('22.991604', '120.221457')",22.991604,120.221457
35,35,竹南分行,37,苗栗縣竹南鎮光復路157號1至3樓,苗栗縣,,,,,,"('24.687321', '120.8792')",24.687321,120.8792
36,36,南台中分行,38,台中市南屯區公益路2段62、66、68、70號1、2樓及72號地下1樓、地下2樓,台中市,,Y,,,,"('24.151024', '120.651098')",24.151024,120.651098
37,37,竹北自強分行,39,新竹縣竹北市自強南路25、27號1、2、3、4、5樓及地下1樓,新竹縣,,,,,,"('24.81884', '121.02778')",24.81884,121.02778
38,38,永康分行,40,台南市永康區中華路725號,台南市,,,,,,"('23.017189', '120.227696')",23.017189,120.227696
39,39,中科分行,41,台中市西屯區臺灣大道4段1182號1樓及2樓,台中市,,,,,,"('24.184667', '120.6124')",24.184667,120.6124
40,40,北高雄分行,42,高雄市左營區裕誠路441號1、2、3樓,高雄市,,,,,,"('22.665481', '120.305854')",22.665481,120.305854
41,41,金門分行,43,金門縣金城鎮民權路230號1樓及232、236號1、2樓,金門縣,,,,,,"('24.439512', '118.320466')",24.439512,118.320466
42,42,興大分行,44,臺中市南區國光路250號,臺中市,,,,,,"('24.122794', '120.67899')",24.122794,120.67899
43,43,中崙分行,45,台北市中山區八德路二段306號3樓,台北市,,,,,,"('25.047122', '121.542469')",25.047122,121.542469
